grit_skill,subject
Computational Thinking,Programming Foundations
Computational Thinking,NIAT - DSA
Computational Thinking,Math For Computer Science
Applied Gen AI Development,Generative AI
Applied Gen AI Development,Building LLM Applications
UI Engineering,Build Your Own Static Website
UI Engineering,Build Your Own Responsive Website
UI Engineering,Modern Responsive Web Design
UI Engineering,JS Essentials
UI Engineering,Introduction to React JS
UI Engineering,Build Your Own Dynamic Web Application
Server-Side Engineering,Building Rest APIs with Flask
Server-Side Engineering,Node JS
Server-Side Engineering,MongoDB
SQL,Introduction to Databases
SQL,DBMS Fundamentals
Quantitative Reasoning,Quantitative Aptitude
Quantitative Reasoning,Numerical Ability
Quantitative Reasoning,NUMERICAL ABILITY AND REASONING SKILLS FOR ENGINEERS
Critical Thinking & Communication,Communicative English Foundation- I
Critical Thinking & Communication,English Course
Critical Thinking & Communication,Communicative English Advanced
