university,institute,side,course_name_as_it_appears,our_best_guess_match,CORRECT_catalogue_course_FILL_ME
ADYPU,A Dy Patil University,DELIVERED (no designed match),Applied Physics for Data Science [Lab],,
ADYPU,A Dy Patil University,DELIVERED (no designed match),Logical Mathematics For Software Engineers I,,
ADYPU,A Dy Patil University,DELIVERED (no designed match),Mathematics 1,,
ADYPU,A Dy Patil University,DELIVERED (no designed match),Professional Skills for Engineers,,
AMET,AMET,DELIVERED (no designed match),Logical Mathematics For Software Engineers I,,
AMET,AMET,DELIVERED (no designed match),Professional Skills for Engineers,,
ANNA,Annamacharya University,DELIVERED (no designed match),Computer Programming using Python,Programming for problem solving,
ANNA,Annamacharya University,DELIVERED (no designed match),Logical Mathematics For Software Engineers I,Programming for problem solving,
ANNA,Annamacharya University,DELIVERED (no designed match),Mathematics 1,,
ANNA,Annamacharya University,DELIVERED (no designed match),Professional Skills for Engineers,Programming for problem solving,
ANNA,Annamacharya University,DESIGNED (never delivered?),Programming for problem solving,Professional Skills for Engineers,
CDU,Chaitanya Deemed-to-be University,DELIVERED (no designed match),Computer Programming using Python,Programming for problem solving,
CDU,Chaitanya Deemed-to-be University,DELIVERED (no designed match),Logical Mathematics For Software Engineers I,Programming for problem solving,
CDU,Chaitanya Deemed-to-be University,DELIVERED (no designed match),Mathematics 1,,
CDU,Chaitanya Deemed-to-be University,DELIVERED (no designed match),Professional Skills for Engineers,Programming for problem solving,
CDU,Chaitanya Deemed-to-be University,DESIGNED (never delivered?),Applied Physics,,
CDU,Chaitanya Deemed-to-be University,DESIGNED (never delivered?),Programming for problem solving,Logical Mathematics For Software Engineers I,
CHALAPATHY,Chalapathy (CITY),DELIVERED (no designed match),Computer Programming using Python,Programming for problem solving,
CHALAPATHY,Chalapathy (CITY),DELIVERED (no designed match),Logical Mathematics For Software Engineers I,Programming for problem solving,
CHALAPATHY,Chalapathy (CITY),DELIVERED (no designed match),Mathematics 1,,
CHALAPATHY,Chalapathy (CITY),DELIVERED (no designed match),Professional Skills for Engineers,Programming for problem solving,
CHALAPATHY,Chalapathy (CITY),DESIGNED (never delivered?),Programming for problem solving,Computer Programming using Python,
CRESCENT,Crescent University,DELIVERED (no designed match),Computer Programming using Python,Programming for problem solving,
CRESCENT,Crescent University,DESIGNED (never delivered?),Programming for problem solving,Computer Programming using Python,
MRV,Malla Reddy Vishwavidyapeeth,DELIVERED (no designed match),Communicative English Foundation,,
MRV,Malla Reddy Vishwavidyapeeth,DELIVERED (no designed match),Introduction to GenAI,Introduction to Generative AI ( Workshop ),
MRV,Malla Reddy Vishwavidyapeeth,DELIVERED (no designed match),Logical Mathematics For Software Engineers I,,
MRV,Malla Reddy Vishwavidyapeeth,DELIVERED (no designed match),Mathematics 1,,
MRV,Malla Reddy Vishwavidyapeeth,DESIGNED (never delivered?),Introduction to Generative AI ( Workshop ),Introduction to GenAI,
NIATCH,NIAT Chevella,DELIVERED (no designed match),Logical Mathematics For Software Engineers I,,
NIATCH,NIAT Chevella,DELIVERED (no designed match),Math for CSE,,
NIATCH,NIAT Chevella,DELIVERED (no designed match),Professional Skills for Engineers,,
NIATCH,NIAT Chevella,DELIVERED (no designed match),Web Application Development,Frontend Development,
NIATCH,NIAT Chevella,DESIGNED (never delivered?),Frontend Development,Web Application Development,
NIU,Noida International University,DELIVERED (no designed match),Computer Programming using Python,Programming for problem solving,
NIU,Noida International University,DELIVERED (no designed match),Logical Mathematics For Software Engineers I,Programming for problem solving,
NIU,Noida International University,DELIVERED (no designed match),Mathematics 1,,
NIU,Noida International University,DELIVERED (no designed match),Professional Skills for Engineers,Programming for problem solving,
NIU,Noida International University,DESIGNED (never delivered?),Programming for problem solving,Logical Mathematics For Software Engineers I,
NRI,NRI,DELIVERED (no designed match),Computer Programming using Python,Programming for problem solving,
NRI,NRI,DELIVERED (no designed match),Logical Mathematics For Software Engineers I,Programming for problem solving,
NRI,NRI,DELIVERED (no designed match),Mathematics 1,,
NRI,NRI,DELIVERED (no designed match),Professional Skills for Engineers,Programming for problem solving,
NRI,NRI,DESIGNED (never delivered?),Programming for problem solving,Logical Mathematics For Software Engineers I,
NSRIT,NSRIT University,DELIVERED (no designed match),Computer Programming using Python,Programming for problem solving,
NSRIT,NSRIT University,DELIVERED (no designed match),Logical Mathematics For Software Engineers I,Programming for problem solving,
NSRIT,NSRIT University,DELIVERED (no designed match),Mathematics 1,,
NSRIT,NSRIT University,DELIVERED (no designed match),Professional Skills for Engineers,Programming for problem solving,
NSRIT,NSRIT University,DESIGNED (never delivered?),Programming for problem solving,Professional Skills for Engineers,
SGU,Sanjay Ghodawat University,DELIVERED (no designed match),Computer Programming using Python,Programming for problem solving,
SGU,Sanjay Ghodawat University,DELIVERED (no designed match),Logical Mathematics For Software Engineers I,Programming for problem solving,
SGU,Sanjay Ghodawat University,DELIVERED (no designed match),Mathematics 1,,
SGU,Sanjay Ghodawat University,DELIVERED (no designed match),Professional Skills for Engineers,Programming for problem solving,
SGU,Sanjay Ghodawat University,DESIGNED (never delivered?),Programming for problem solving,Computer Programming using Python,
SVYASA,S-VYASA,DELIVERED (no designed match),Communicative English Foundation,Basic Tehnical English,
SVYASA,S-VYASA,DELIVERED (no designed match),Computer Programming using Python,Problem Solving Using Programming I,
SVYASA,S-VYASA,DELIVERED (no designed match),Logical Mathematics For Software Engineers I,Problem Solving Using Programming I,
SVYASA,S-VYASA,DELIVERED (no designed match),Math for CSE,,
SVYASA,S-VYASA,DELIVERED (no designed match),Mathematics 1,Engineering Mathematics 1,
SVYASA,S-VYASA,DELIVERED (no designed match),Professional Skills for Engineers,,
SVYASA,S-VYASA,DELIVERED (no designed match),Web Application Development,Web Technologies,
SVYASA,S-VYASA,DESIGNED (never delivered?),Basic Tehnical English,Communicative English Foundation,
SVYASA,S-VYASA,DESIGNED (never delivered?),Engineering Mathematics 1,Mathematics 1,
SVYASA,S-VYASA,DESIGNED (never delivered?),Problem Solving Using Programming I,Computer Programming using Python,
SVYASA,S-VYASA,DESIGNED (never delivered?),Web Technologies,Web Application Development,
TAKSHASHILA,Takshasila University,DELIVERED (no designed match),Computer Programming using Python,Programming for problem solving,
TAKSHASHILA,Takshasila University,DELIVERED (no designed match),Logical Mathematics For Software Engineers I,Programming for problem solving,
TAKSHASHILA,Takshasila University,DELIVERED (no designed match),Mathematics 1,,
TAKSHASHILA,Takshasila University,DELIVERED (no designed match),Professional Skills for Engineers,Programming for problem solving,
TAKSHASHILA,Takshasila University,DESIGNED (never delivered?),Programming for problem solving,Computer Programming using Python,
VGU,Vivekananda global University,DELIVERED (no designed match),Computer Programming using Python,Programming for problem solving,
VGU,Vivekananda global University,DELIVERED (no designed match),Logical Mathematics For Software Engineers I,Programming for problem solving,
VGU,Vivekananda global University,DELIVERED (no designed match),Mathematics 1,,
VGU,Vivekananda global University,DELIVERED (no designed match),Professional Skills for Engineers,Programming for problem solving,
VGU,Vivekananda global University,DESIGNED (never delivered?),Applied Physics,,
VGU,Vivekananda global University,DESIGNED (never delivered?),Programming for problem solving,Computer Programming using Python,
Yenepoya,Yenapoya University,DELIVERED (no designed match),Applied Communicative English,,
Yenepoya,Yenapoya University,DELIVERED (no designed match),GEN AI,,
Yenepoya,Yenapoya University,DELIVERED (no designed match),Logical Mathematics For Software Engineers I,Basic electronics for cse,
Yenepoya,Yenapoya University,DELIVERED (no designed match),Mathematics 1,,
Yenepoya,Yenapoya University,DELIVERED (no designed match),Maths for CSE,Basic electronics for cse,
Yenepoya,Yenapoya University,DELIVERED (no designed match),Professional Skills for Engineers,Basic electronics for cse,
Yenepoya,Yenapoya University,DESIGNED (never delivered?),Basic electronics for cse,Maths for CSE,
